"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"1400000US06001443301","Census Tract 4433.01, Alameda County, California","4467","null","602","null","4063","null","602","null","1088","null","251","null","20","24","null","null","1","null","3","null","2807","null","568","null","8","14","null","null","0","null","13","null","139","null","99","null","100","null","90","null","39","null","38","null","404","225","null","null","62","null","50","null","40","null","60","null","0","null","13","null","7","11","null","null","0","null","13","null","255","null","231","null","40","null","41","null","40","41","null","null","0","13","null","null",
"1400000US06001443321","Census Tract 4433.21, Alameda County, California","3314","null","447","null","2919","null","442","null","73","null","44","null","114","125","null","null","0","null","13","null","2688","null","434","null","17","28","null","null","8","null","13","null","19","null","20","null","0","null","13","null","19","null","20","null","395","172","null","null","157","null","150","null","0","null","13","null","0","null","13","null","0","13","null","null","8","null","13","null","156","null","124","null","74","null","78","null","37","57","null","null","37","49","null","null",
"1400000US06001443322","Census Tract 4433.22, Alameda County, California","3284","null","338","null","2996","null","291","null","649","null","210","null","31","36","null","null","22","null","31","null","2131","null","194","null","69","78","null","null","9","null","13","null","85","null","34","null","0","null","13","null","85","null","34","null","288","168","null","null","149","null","117","null","0","null","13","null","0","null","13","null","7","10","null","null","0","null","13","null","20","null","17","null","112","null","124","null","46","49","null","null","66","79","null","null",
"1400000US06001444100","Census Tract 4441, Alameda County, California","7667","null","751","null","5783","null","738","null","3053","null","575","null","305","319","null","null","7","null","13","null","1845","null","347","null","222","290","null","null","0","null","19","null","351","null","235","null","124","null","171","null","227","null","161","null","1884","300","null","null","601","null","278","null","0","null","19","null","0","null","19","null","22","32","null","null","0","null","19","null","1002","null","350","null","259","null","198","null","190","181","null","null","69","78","null","null",
"1400000US06001444200","Census Tract 4442, Alameda County, California","7238","null","820","null","5088","null","739","null","1561","null","360","null","42","34","null","null","42","null","56","null","3049","null","613","null","124","162","null","null","93","null","90","null","177","null","130","null","0","null","19","null","177","null","130","null","2150","547","null","null","512","null","292","null","0","null","19","null","0","null","19","null","8","14","null","null","22","null","32","null","1239","null","407","null","369","null","430","null","305","426","null","null","64","59","null","null",
"1400000US06001444301","Census Tract 4443.01, Alameda County, California","3855","null","417","null","2993","null","468","null","1336","null","317","null","206","233","null","null","0","null","13","null","1154","null","398","null","93","132","null","null","0","null","13","null","204","null","142","null","80","null","107","null","124","null","99","null","862","281","null","null","163","null","108","null","0","null","13","null","84","null","113","null","37","58","null","null","0","null","13","null","436","null","240","null","142","null","94","null","117","85","null","null","25","38","null","null",
"1400000US06001444303","Census Tract 4443.03, Alameda County, California","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null",
"1400000US06001444304","Census Tract 4443.04, Alameda County, California","5445","null","675","null","3285","null","542","null","543","null","184","null","234","165","null","null","21","null","34","null","2254","null","536","null","119","122","null","null","20","null","32","null","94","null","88","null","0","null","19","null","94","null","88","null","2160","568","null","null","296","null","147","null","6","null","10","null","19","null","33","null","0","19","null","null","0","null","19","null","1535","null","487","null","304","null","415","null","283","414","null","null","21","24","null","null",
"1400000US06001444400","Census Tract 4444, Alameda County, California","5649","null","717","null","2495","null","412","null","685","null","255","null","255","173","null","null","17","null","30","null","1194","null","365","null","50","56","null","null","0","null","19","null","294","null","205","null","141","null","170","null","153","null","103","null","3154","692","null","null","448","null","234","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","2472","null","752","null","234","null","196","null","108","119","null","null","126","174","null","null",
"1400000US06001444500","Census Tract 4445, Alameda County, California","7537","null","727","null","3946","null","466","null","1424","null","404","null","260","144","null","null","20","null","23","null","1952","null","467","null","61","85","null","null","20","null","31","null","209","null","112","null","0","null","19","null","209","null","112","null","3591","720","null","null","791","null","449","null","0","null","19","null","62","null","71","null","0","19","null","null","0","null","19","null","1966","null","589","null","772","null","537","null","629","475","null","null","143","123","null","null",
"1400000US06001444601","Census Tract 4446.01, Alameda County, California","6095","null","826","null","4510","null","806","null","1274","null","234","null","106","94","null","null","0","null","19","null","2893","null","789","null","25","42","null","null","20","null","23","null","192","null","97","null","16","null","27","null","176","null","95","null","1585","461","null","null","425","null","193","null","27","null","44","null","0","null","19","null","8","14","null","null","0","null","19","null","697","null","413","null","428","null","405","null","391","403","null","null","37","37","null","null",
"1400000US06001444602","Census Tract 4446.02, Alameda County, California","4662","null","557","null","4073","null","555","null","753","null","230","null","126","138","null","null","0","null","13","null","2974","null","503","null","72","61","null","null","17","null","26","null","131","null","101","null","12","null","18","null","119","null","97","null","589","279","null","null","264","null","163","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","50","null","41","null","275","null","202","null","138","153","null","null","137","126","null","null",
"1400000US06001450101","Census Tract 4501.01, Alameda County, California","6163","null","627","null","5652","null","659","null","1742","null","382","null","156","120","null","null","18","null","26","null","3390","null","609","null","6","10","null","null","65","null","104","null","275","null","123","null","14","null","23","null","261","null","122","null","511","208","null","null","230","null","164","null","36","null","41","null","0","null","19","null","0","19","null","null","0","null","19","null","175","null","130","null","70","null","69","null","64","69","null","null","6","10","null","null",
"1400000US06001450102","Census Tract 4501.02, Alameda County, California","6076","null","613","null","4921","null","543","null","1249","null","299","null","571","423","null","null","64","null","37","null","2709","null","413","null","31","34","null","null","18","null","21","null","279","null","126","null","0","null","19","null","279","null","126","null","1155","448","null","null","509","null","119","null","4","null","6","null","17","null","16","null","6","10","null","null","0","null","19","null","295","null","217","null","324","null","358","null","74","58","null","null","250","352","null","null",
"1400000US06001450200","Census Tract 4502, Alameda County, California","5297","null","558","null","4813","null","606","null","2358","null","476","null","136","95","null","null","0","null","19","null","1739","null","464","null","74","81","null","null","0","null","19","null","506","null","359","null","13","null","22","null","493","null","358","null","484","241","null","null","391","null","201","null","26","null","40","null","0","null","19","null","0","19","null","null","0","null","19","null","14","null","23","null","53","null","83","null","0","19","null","null","53","83","null","null",
"1400000US06001450300","Census Tract 4503, Alameda County, California","5239","null","498","null","4278","null","605","null","2604","null","484","null","294","261","null","null","10","null","16","null","1320","null","204","null","0","19","null","null","0","null","19","null","50","null","41","null","0","null","19","null","50","null","41","null","961","385","null","null","682","null","320","null","50","null","61","null","9","null","13","null","32","38","null","null","0","null","19","null","90","null","62","null","98","null","96","null","60","70","null","null","38","65","null","null",
"1400000US06001450400","Census Tract 4504, Alameda County, California","7757","null","929","null","6619","null","884","null","3427","null","804","null","215","127","null","null","0","null","19","null","2234","null","527","null","33","59","null","null","49","null","80","null","661","null","310","null","50","null","59","null","611","null","299","null","1138","447","null","null","431","null","303","null","0","null","19","null","72","null","105","null","311","389","null","null","15","null","28","null","174","null","172","null","135","null","116","null","89","88","null","null","46","75","null","null",
"1400000US06001450501","Census Tract 4505.01, Alameda County, California","3097","null","329","null","2851","null","359","null","1910","null","344","null","0","13","null","null","13","null","25","null","764","null","200","null","0","13","null","null","0","null","13","null","164","null","78","null","0","null","13","null","164","null","78","null","246","155","null","null","45","null","40","null","0","null","13","null","8","null","15","null","9","15","null","null","0","null","13","null","27","null","29","null","157","null","140","null","94","110","null","null","63","74","null","null",
"1400000US06001450502","Census Tract 4505.02, Alameda County, California","5811","null","539","null","5357","null","519","null","2342","null","301","null","47","47","null","null","47","null","51","null","2625","null","486","null","23","26","null","null","0","null","19","null","273","null","136","null","8","null","13","null","265","null","137","null","454","128","null","null","230","null","93","null","0","null","19","null","0","null","19","null","68","87","null","null","0","null","19","null","136","null","124","null","20","null","34","null","20","34","null","null","0","19","null","null",
"1400000US06001450601","Census Tract 4506.01, Alameda County, California","3645","null","379","null","3377","null","382","null","1767","null","284","null","12","14","null","null","36","null","46","null","1318","null","314","null","0","13","null","null","0","null","13","null","244","null","136","null","0","null","13","null","244","null","136","null","268","150","null","null","257","null","149","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","11","null","17","null","0","null","13","null","0","13","null","null","0","13","null","null",
"1400000US06001450603","Census Tract 4506.03, Alameda County, California","5070","null","680","null","4319","null","410","null","2488","null","303","null","60","52","null","null","9","null","13","null","1547","null","284","null","0","19","null","null","0","null","19","null","215","null","145","null","26","null","39","null","189","null","145","null","751","392","null","null","203","null","129","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","251","null","158","null","297","null","340","null","203","207","null","null","94","139","null","null",
"1400000US06001450604","Census Tract 4506.04, Alameda County, California","5345","null","435","null","4781","null","397","null","2958","null","355","null","31","36","null","null","0","null","19","null","1430","null","294","null","0","19","null","null","22","null","36","null","340","null","147","null","0","null","19","null","340","null","147","null","564","186","null","null","173","null","109","null","0","null","19","null","0","null","19","null","8","13","null","null","0","null","19","null","271","null","163","null","112","null","94","null","97","94","null","null","15","17","null","null",
"1400000US06001450605","Census Tract 4506.05, Alameda County, California","3815","null","396","null","3483","null","394","null","2230","null","315","null","16","24","null","null","1","null","4","null","1095","null","263","null","75","101","null","null","3","null","5","null","63","null","39","null","0","null","13","null","63","null","39","null","332","146","null","null","168","null","91","null","0","null","13","null","13","null","19","null","7","12","null","null","0","null","13","null","31","null","32","null","113","null","111","null","72","90","null","null","41","63","null","null",
