CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8734631,1,1,4,F,30,4,9,P,W,3,ALAMEDA,OAKLAND,2018
8737341,1,1,4,M,31,4,9,P,V,1,ALAMEDA,OAKLAND,2018
8737449,2,1,4,M,28,4,1,P,W,1,ALAMEDA,OAKLAND,2018
8741595,2,1,4,M,36,4,9,P,V,2,ALAMEDA,OAKLAND,2018
8742839,1,1,4,M,63,4,1,P,V,1,ALAMEDA,OAKLAND,2018
8748443,1,1,2,F,24,0,3,M,G,0,ALAMEDA,OAKLAND,2018
8748443,2,1,3,F,57,4,9,-,-,3,ALAMEDA,OAKLAND,2018
8749347,2,1,3,F,47,4,9,-,P,0,ALAMEDA,OAKLAND,2018
8756232,2,1,3,M,66,4,9,P,A,0,ALAMEDA,OAKLAND,2018
8756483,1,1,3,M,58,4,9,-,-,3,ALAMEDA,OAKLAND,2018
8763823,2,1,4,M,20,3,9,P,A,1,ALAMEDA,OAKLAND,2018
8775629,1,1,3,M,49,4,9,B,-,0,ALAMEDA,OAKLAND,2018
8778316,1,1,4,M,47,3,1,P,V,1,ALAMEDA,OAKLAND,2018
8779008,2,1,3,M,11,4,9,-,-,0,ALAMEDA,OAKLAND,2018
8783862,2,1,3,M,18,4,9,-,-,3,ALAMEDA,OAKLAND,2018
8785700,2,1,3,M,41,4,9,-,-,0,ALAMEDA,OAKLAND,2018
8801135,2,1,3,F,77,2,9,P,-,0,ALAMEDA,OAKLAND,2018
8819950,1,1,4,M,54,4,9,P,V,1,ALAMEDA,OAKLAND,2018
8829680,1,1,4,M,49,4,1,P,V,0,ALAMEDA,OAKLAND,2019
8830188,1,1,4,M,65,4,1,P,A,0,ALAMEDA,OAKLAND,2018
